,object_number,acquisition.method,title,description,institution.name,creator,creator.role,production.place,production.period,production.date.start,production.date.end,material,material.part,technique,technique.part,dimension.notes,dimension.unit,dimension.part,dimension.precision,dimension.type,dimension.free,dimension.value,acquisition.date,acquisition.method
4532,00887,overdracht,"Wapenschild van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met Maria Magdalena","Geborduurd wapenschild / blazoen van het ambacht van de Gentse kruideniers, kaaskopers en kaarsgieters met de voorstelling van Maria Magdalena, patroonheildige van de kruideniers, afgebeeld met zalfpot in de hand. De kruideniers, kaaskopers en kaarsgieters waren na  de opstand van de Gentenaren in 1540 door Keizer Karel V in één ambacht verenigd. Behoort tot een set van zes blazoenen vervaardigd in 1707 door Jan de Stoppelaere naar de ontwerpen van Heydelbergh.",STAM (Gent),Heydelbergh,ontwerper,Gent,18de eeuw,1707,1707,linnen,geheel,geborduurd,geheel,,cm,geheel,,hoogte,,44.50,1864,overdracht
4584,00548,aankoop,Vijzel,"Brede uitstaande kraag met opschrift ""Gerardus Hallensis me fecit anno 1643"". Om de mantel een brede fries met musicerende engelen tussen voluten. Gregorius van halle was een rondreizende klokkengieter afkomstig uit Lotharingen maar lange tijd in Gent werkzaam.",STAM (Gent),"van Halle, Gregorius",ontwerper,Gent,17de eeuw,1643,1643,brons,geheel,Gegoten,geheel,,cm,geheel,,hoogte,,12.2,1953-02,aankoop
4590,A65.02.038.2-2,schenking,Tafelkandelaar,"Volledig getorste Lodewijk XV-kandelaar, met hooggewelfde ingesnoerde voet en losse originele vetvangers. Op de voetrand staan vier merktekens: een vogel op een takje, het meesterteken van J. B. Wattelez; een gekroonde G; een vizierhelm; het jaarcijfer (17)89 en de eigenaarsinitialen van Joan d'Huyvetter.",STAM (Gent),"Wattelez, Jean-Baptiste",ontwerper,Gent,18de eeuw,1789,1789,zilver,geheel,,,,cm,geheel,,hoogte,,27,1965,schenking
4651,00371.2-2.A,overdracht,Bekroning van processietoorts van de Gentse metsers en steenhouwers,"Gebeeldhouwde processietoorts van het ambacht van de Gentse metsers en steenkappers uitgevoerd door Frans Allaert naar een ontwerp van Jan Dupré met de voorstelling van twee van de Vier Gekroonden, patroonheiligen van het ambacht. De één bewerkt met een paslood een altaarelement , de ander, met maatstok in de hand kijkt toel. Ze staan onder een baldakijn gedragen door drie sierlijke voluten in rococostijl. Een gevleugelde draak waarvan de staart rond de draagstok krult, bevindt zich onder de figuren",STAM (Gent),"Dupré, Jan",ontwerper,Gent,18de eeuw,1747,1747,lindehout,geheel,gebeeldhouwd,geheel,,cm,geheel,,hoogte,,258,1864,overdracht
4657,14505,onbekend,Ontwerp voor een plaket met voorstelling van Van den Gheyn,"Rechthoekige plaquette in gips met profielportret van kannunik Van den Gheyn, gesigneerd G. Verbanck",STAM (Gent),"Verbanck, Geo",ontwerper,Gent,20ste eeuw,1927,1927,gips,,,,,cm,geheel,,hoogte,,43.6,,onbekend
5186,N.02040,aanwinst,"Herinneringsmedaille opening eerste spoorlijn te Gent, 1837","Vz.Ongelauwerd hoofd van Leopold I naar links met langs de rand links, LEOPOLDUS PRIMUS en rechts, BELGARUM REX ; onder de afsnede van de hals, BRAEMT F. ; rondom een verhoogde boord. Kz.Links een panorama van de stad Gent met de torens en rechts een stoomlocomotief met op de zijkant de naam, CHARLES QUINT ; bovenaan zweeft een gevleugelde engel met een vlag in haar rechterhand en een pijlenbundel in haar linkerhand ; rondom bovenaan, SUMPTIBUS CIVIUM ; onderaan op de afsnede, GAND. XXVIII SEPT. / M D CCCXXXVII / BRAEMT F. (volgt de boord) ; rondom een verhoogde boord.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1837,1837,goud,,,,,mm,,,diameter,,49,,aanwinst
5189,07168,aankoop,Doopschotel,"De brede boord van de schotel heeft tussen een dubbele golfband en een herhaald lamberkijnmotief het ingeslagen inschrift: BERNARDINA IOANNA SCHATTEMAN METER VAN ANGELINA BERNARDINA VAN AKKER GEBOREN 16 DECEMBER 1801. In het plat een gegraveerde voorstelling met op de voorgrond een zittende dame met hoed die iets in de handen houdt. Op de achtergrond  leidt een man met muts een paard binnen een afsluiting en in het midden zit een tweede vrouw die handwerk verricht.
Op de achterkant van het plat staan de merken afgeslagen van de tingieter F. van der beken voor Engels tin.  Frans van der beken overleed echter voor 4 januari 1791 en dus is de versiering zeker niet van zijn hand. Voor doopschotels werden soms oudere schotels gebruikt, die naargelang de gelegenheid van versieringen en inschriften werden voorzien.",STAM (Gent),"Van der Beken, Frans",ontwerper,Gent,18de eeuw (tweede helft),1750,1801,tin,,Gegoten,geheel,,cm,,,diameter,,38.2,1919,aankoop
5237,02001.3-5,aanwinst,Balustrade van een woning aan het Edward Anseeleplein,"De ijzeren balustrade heeft als centraal motief Apollo die triomfantelijk zijn wagen met vier paarden ment. In zijn linker hand  houdt hij een lier. Dit motief wordt overspannen door een boog met wijnranken. In de zwikken zijn twee bazuin blazende gevleugelde vrouwelijke figuren geplaats.
Deze balustrade is afkomstig van een gesloopte burgerwoning gelegen aan de Garenmarkt (nu Edward Anseeleplein) te Gent. het ontwerp wordt toegeschreven aan de Gentse edelsmid P.J.J. Tiberghien.",STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,19de eeuw,1800,1810,smeedijzer,geheel,gedreven,,,cm,geheel,,hoogte,,84.7,,aanwinst
5341,A65.02.144.4-11,schenking,"Gedenkpenning bezoek van Willem I aan het kunstkabinet van d’Huyvetter, 1829","In het midden een verzameling oudheidkundige objecten met rondom, SVPELLECTILIS BELG. FICTIL ET VITR. PALEOTHECA en onderaan op de afsnede, GANDAVI. MDCCXXIX. en met eronder de verhoogde boord volgend, BRAEMT F.
Op de andere zijde staat de tekst, OB FAVORUM / QVOD GVILIELM.I.B.R. / PALÆOTHECAM / VISIT ADPROBAVITQ. / JOAN. D’HVIJVETTER. / ACAD GRAPH DIRECTOR / GRAT. CONSECR. en met rondom een verhoogde boord.

In de lente van 1829 maakte koning Willem I een lange reis door de Zuidelijke Nederlanden. Op 27 mei vertrok hij vanuit Brussel via Mechelen en Lier naar Antwerpen (27 en 28 mei). Daarna ging hij via Terneuzen en Sas van Gent naar Gent (30 en 31 mei) om dan zijn reis verder te zetten langs Drongen, Deinze en Tielt richting Brugge (1 en 2 juni). Vandaar trok hij verder naar Oostende en via Torhout en Menen naar Kortrijk (4 juni). In de volgende weken bezocht hij nog Doornik (12 juni), Mons (13 en 14 juni), Charleroi (15 juni), Namen (16 juni), Luik en omgeving (22 tot 24 juni) en Maastricht (26 juni) om via Tongeren en Hasselt terug naar Den Bosch te reizen (27 en 28 juni).
Het ging niet om een plezierreisje. De koning maakte zich bezorgd om de aanhoudende stroom van problemen die de uiteindelijke samensmelting van de beide landsdelen in de weg stond.
Ondanks al de kritiek op het beleid van Willem I en vooral op dat van zijn ministers was het onthaal in het Zuiden, behalve misschien in Mons en Maastricht, bijzonder hartelijk.
Naar aanleiding van zijn oponthoud te Gent op 30 en 31 mei werden door Braemt twee penningen geslagen. Een eerste penning werd door de Nijverheidsmaatschappij aan de koning opgedragen (N.119). Daarnaast liet de directeur van de Gentse tekenacademie een penninkje maken ter herinnering aan het bezoek van de koning op zondag 31 mei aan zijn verzameling oudheden. Het werd geslagen in goud, zilver, brons en tin maar de stukken waren pas klaar na de onlusten van eind augustus 1830 te Brussel.",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1829,1829,koper,,geslagen,,,mm,,,diameter,,27.6,1965,schenking
5400,04064,aankoop,St.-Joris te paard,,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,calqueerpapier,,,,,cm,,,hoogte,,203,1899-07,aankoop
5483,00796,aankoop,De boodschap,WAARSCHIJNLIJK IN LEOPOLDKAZERNE,STAM (Gent),onbekend,ontwerper,Gent,19de eeuw,1894,1894,calqueerpapier,,,,,cm,geheel,,hoogte,,205.5,1899-07,aankoop
5525,13694,onbekend,"Belfort van Gent, Project de reconstruction de la Fleche","Bij de aanvang van de twintigste eeuw werd o.m. door burgemeester Emile Braun het idee opgevat om het Gentse belfort van een nieuwe bekroning te voorzien in de geest van het oorspronkelijk ontwerp.
Napoleon de Pauw werd door het stadsbestuur aangesteld om dit initiatief te verwezenlijken. Vanaf 1905-1906 werd de idee van de nieuwe bekroning naast de restauratie van het belfort in diverse commissie besproken. 
Charles Van Rysselberghe, stadsbouwmeester, tekende een ontwerp dat echter bij de besprekingen in de commissies, waaronder de Commissie voor Monumenten, veel opmerkingen kreeg.
Het ontwerp werd in Brussel op de Wereldtentoonstelling van 1910 aan het publiek voorgesteld. Uiteindelijk zal de restauratie van de belforttoren en de nieuwe torenbekroning naar het ontwerp van Valentijn Vaerwijck worden uitgevoerd.
",STAM (Gent),"Van Rysselberghe, Charles",ontwerper,Gent,20ste eeuw,1905,1908,papier (vezelproduct),,getekend,,,cm,lijst,,hoogte,,145,,onbekend
5778,00371.1-2.A,overdracht,Processietoorts van de Gentse metsers en steenhouwers,"Gebeeldhouwde processietoorts van het ambacht van de Gentse metsers en steenkappers uitgevoerd door Frans Allaert naar een ontwerp van Jan Dupré met de voorstelling van twee van de Vier Gekroonden, patroonheiligen van het ambacht. De één voorgesteld als metselaar is bezig een hoeksteen van een muur te pasloden, de ander, een steenhouwer, bewerkt met beitel en hamer een kapiteel. Ze staan onder een baldakijn gedragen door drie sierlijke voluten in rococostijl. Een gevleugelde draak waarvan de staart rond de draagstok krult, bevindt zich onder de figuren",STAM (Gent),"Dupré, Jan",ontwerper,Gent,18de eeuw,1747,1747,lindehout,geheel,gebeeldhouwd,geheel,,cm,bekroning,,hoogte,,100,1864,overdracht
5819,A2011.11,aankoop,"Parure: halsband, hanger en monogramplaatje","Neogotische sieradenset, samengesteld uit een gouden halsband bezet parels, diamanten, saffieren, smaragden en robijnen; een hanger in de vorm van een zwaan en een geëmailleerd plaatje met monogram (JBA?) onder een gravenkroon dat als schakel in de halsband kan ingevoegd worden.
Volgens archiefdocumenten werd de zwaanvormige hanger in 1878 gemaakt door de Gentse zilversmid Armand Bourdon (1818-1903) naar een ontwerp van Jean-Baptiste Bethune (1821-1894). De ontwerptekening hiervan bleef bewaard in het archief de Bethune te Marke (Kortrijk). Dit juweel was bestemd voor 'baronnes J.B. de Béthune'. Vermoedelijk betreft het hier Anne Roger de Villers (1855-1913) die in 1875 huwde met Jean-Baptiste jr. de Béthune (1853-1907). Deze hanger kan ook als broche worden gedragen.
De halsband en het geëmailleerd monogramplaatje werden waarschijnlijk later, na 1887, aan de hanger toegevoegd, gezien de doos waarin het juwelenset bewaard wordt de naam E[douard] Bourdon draagt.",STAM (Gent),"Bethune, Jean-Baptiste",ontwerper,Gent,19de eeuw,1878,1887,goud,halsband,,,,cm,etui,,hoogte,,4.50,2011-12-07,aankoop
6032,N.02047,aanwinst,"Stadspenning voor de nieuwe Gentse zeevaartinrichtingen, 1881","Vz.Voorstelling Gentse maagd (type Lemaire); ze zit lichtjes schuin met rechts van haar de leeuw met zijn voorpoten op haar rechterbeen; in haar rechterhand een vlag met het opschrift S.P.Q.G. ; haar linkerarm rust op een groot schild met een leeuw; ze heeft lange haren en draagt een kroon; haar gewaad met korte gepofte mouwen hangt tot over haar voeten; naast het schild op de grond staan een wereldbol, boeken en een lauwerkrans; op de achtergrond staat een afsluiting en in de verte ziet men de Gentse torens en schouwen ; rechts op de afsnede, LEMAIRE ; rondom een geprofileerde rand. Kz.In het veld, STAD GENT / ---- / LEOPOLD II / HULDIGT / DE ZEEVAART-INRICHTINGEN / IN / ------- / 5 SEPTEMBER / 1881 ; rondom een parelcirkel met erbuiten langs de rand, bovenaan, 50STE VERJARING DER STICHTING VAN HET KONINKLIJK STAMHUIS en onderaan een bloemetje ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1881,1881,brons,,,,,mm,,,diameter,,50.5,,aanwinst
6533,A65.02.038.1-2,schenking,Tafelkandelaar,"Volledig getorste Lodewijk XV-kandelaar, met hooggewelfde ingesnoerde voet en losse originele vetvangers. Op de voetrand staan vier merktekens: een vogel op een takje, het meesterteken van J. B. Wattelez; een gekroonde G; een vizierhelm; het jaarcijfer (17)89 en de eigenaarsinitialen van Joan d'Huyvetter.",STAM (Gent),"Wattelez, Jean-Baptiste",ontwerper,Gent,18de eeuw,1789,1789,zilver,geheel,,,,cm,geheel,,hoogte,,27,1965,schenking
6542,00882.4-4,aankoop,Bloemenslinger,Loden festoen waarvan het ontwerp wordt toegeschreven aan P.J.J. Tiberghien en dat vermoedlijk diende als model voor het uitwerken van gelijkaardige motieven in edel metaal.,STAM (Gent),"Tiberghien, Pierre-Joseph-Jacques",ontwerper,Gent,18de eeuw (vierde kwart),1790,1810,lood,,Gegoten,,,cm,,,hoogte,,7,1885-10-20,aankoop
6998,00651,bruikleen,"Ontwerptekening voor een koffiekan, meesterproef van Fidèle de Vray","Ontwerptekening van een rijkversierde Lodewijk  XVI  koffiekan met drie portretmedaillons en guirlandes; een tuit in de vorm van een ramskop, een top met pijlenkoker en een doelschijf met pijl en fakkel. Uit het moeilijk leesbaar cursief opschrift onder de tekening blijkt dat dit het ontwerp voor de meesterproef van zilversmid Fidèle de Vray was.
Fidèle de Vray overleed in 18 februari 1828 in het Bijlokeziekenhuis als provenier.",STAM (Gent),"De Vray, Fidèle",ontwerper,Gent,18de eeuw (vierde kwart),1780,1780,papier (vezelproduct),,getekend,,,cm,,,hoogte,,52,0,bruikleen
7664,N.02038,aanwinst,"Gedenkpenning inhuldiging van het Kanaal Gent-Terneuzen, 1827","Vz.Hoofd van Willem I n.l. met links ervan naast de rand, GVILIELMVS I. en rechts, BELGARVM REX ; onder de hals, BRAEMT. F. Kz.De watergod Neptunus staat, met zijn drietand rechtop in zijn linkerarm, op het voordek van een schip en wijst n.l. ; rechts op de grond ligt een vrouw, Vlaanderen, met een hoorn des overvloed in haar linkerarm ; rondom bovenaan, FLUVIIS. EXUNDANTIBUS. NAVIBUSQUE. NOVA. IN. OCEANUM. VIA. MDCCCXXVII. ; langs de rand naast de vrouw, BRAEMT. F. en onderaan op de afsnede, REGLOPTORDD. FLAND. ORIENT. / ET ZELAND. CUM. SENAT. GAND. / GRATI",STAM (Gent),"Braemt, Joseph Pieter",ontwerper,Gent,19de eeuw,1827,1827,goud,,,,,mm,,,diameter,,46,,aanwinst
7714,N.02050.2-4,aanwinst,"Gedenkpenning inhuldiging monument Willems, 1899","Vz.De kop van Willems staat naar links met rondom bovenaan, JAN – FRANS WILLEMS GEB. 1798, OVERL. 1846. en onder de schouder, LEMAIRE GENT en met rondom een geprofileerde rand.Kz.Binnen een verhoogde cirkel, WILLEMS’ GEDENKTEKEN / PLECHTIG ONTHULD / DEN / 27 AUGUSTUS / 1899 / tussen twee maal drie bloemetjes, GENT (de eerste en de laatste zin volgen de cirkel en de tweede zin is gebogen) ; rondom een geprofileerde rand.",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,19de eeuw,1899,1899,brons,,,,,mm,,,diameter,,50.6,,aanwinst
7727,N.02194,aanwinst,"Gedenkpenning bezoek van Koningin Victoria aan Gent, 1843","Vz.De buste naar links van koningin Victoria met opgestoken haar en diadeem met rondom, VICTORIA REINE (links) D’ANGLETERRE (rechts) en onder de buste, VERACHTER DIR. HART FECIT ; rondom een versierde rand bestaand uit een parelcirkel, een cirkel van streepjes en een geprofileerde rand.Kz.Het gekroonde Gentse wapenschild is omgeven door een sierrand met boogjes afgewisseld met bolletjes en een cirkel met streepjes ; tussen deze cirkel en de geprofileerde buitenrand, LA REINE A GAND (bovenaan) * * 16 SEPTEMBRE 1843 * *",STAM (Gent),Hart,ontwerper,Gent,19de eeuw,1843,1843,koper,,,,,mm,,,diameter,,54.2,,aanwinst
7775,N.02046,aanwinst,"Gedenkpenning opening nieuwe sectie van het kanaal Gent-Terneuzen te Zelzate, 1879","Vz.Het hoofd naar links van koning Leopold II met onder de hals, P. HART en rondom, LEOPOLD II ROI (links) DES BELGES (rechts) ; rondom een cirkel bestaande uit streepjes en een geprofileerde rand.Kz.INAUGURATION / DE LA / NOUVELLE SECTION / DU / CANAL MARITIME / DE / GAND À TERNEUZEN / ?? / SELZAETE / LE 2 JUIN 1879 ; rondom, SOUVENIR OFFERT MAR MM. COUVREUX & HERSENT. ENTREPRENEURS?; rondom een parelcirkel, een cirkel bestaande uit streepjes en een geprofileerde rand.",STAM (Gent),Hart,ontwerper,Gent,19de eeuw,1879,1879,brons,,,,,mm,,,diameter,,59,,aanwinst
7796,N.01998,aanwinst,"Erepenning van de “Société Royale pour l’encouragement des Beaux Arts » aan Gustave Vanaise, 1900","Vz.Drie vrouwen in lang gewaad staan in vooraanzicht, ze verpersoonlijken de kunsten, de middelste heeft een schilderspalet met penseel, de linkse een beeldhouwerhamer en de rechtse een winkelhaak, attribuut voor de architectuur ;ze staan op een rechthoekig waarop links verdiept staat, LEMAIRE INV. ET FEC. en waaronder bovenop laurierbladeren het Gentse wapenschild staat met een banderol met de leuze FIDES – AMOR ; rondom bovenaan, tussen een parelcirkel en de geprofileerde buitenrand, SOCIÉTÉ ROYALE POUR L’ENCOURAGEMENT DES BEAUX-ARTS À GAND Kz.Ingegraveerd, HOMMAGE / À / MONSIEUR / GUSTAVE VANAISE / MÉDAILLÉ / À / L’ EXPOSITION UNIVERSELLE / DE PARIS / ?? / I 9 0 0 (de eerste en laatste zin volgen de geprofileerde rand).",STAM (Gent),"Lemaire, Victor",ontwerper,Gent,20ste eeuw,1900,1900,brons,,,,,mm,,,diameter,,47.5,,aanwinst
7823,N.02020,aanwinst,"Portretpenning Karel van den Bosch, 8ste bisschop van Gent, 1665","Vz.Buste naar rechts van Van den Bossche met rondom, ILL: MVS AC•RMVS•DNVS• CAROLVS•VAN•BOSCH•GANDAV: op de afsnede van de schouder verdiept, D.W.F. I665. en rondom een parelcirkel.Kz.Het wapenschild van Van den Bossche met erboven een bisschopshoed met aan beide zijden trossen en eronder op een banderol het devies, CRVCIER NE CRVCIER en met rondom, DNVS • TERRIT : S: BAVONIS • COMES • D’EVERGHEM • Z",STAM (Gent),"Waterloos, Adrien",ontwerper,Gent,17de eeuw,1665,1665,zilver,,,,,mm,,,diameter,,47.3,,aanwinst
7837,N.01790,aanwinst,"Zitpenning van de magistraat van Gent, (1691-1700)","De Gentse maagd zit in een omheinde tuin met een leeuw en ze houdt een vlag met wimpel met daarop een hand met rondom bovenaan, SIC • GANDA • LEONEM en rondom een parelcirkel.
Op de andere zijde staat op een opkrullend veld de Gentse leeuw met rondom bovenaan, VT • LEO • CVSTODIT • GANDAM en onderaan op de afsnede, •S•P•Q•G• en rondom een parelcirkel.

De penning is in untslag met gekartelde rand en sporen van ajustering (aanpassing aan het vereiste gewicht) op de voorzijde (op de maagd) en keerzijde (op de leeuw).
",STAM (Gent),"Roettiers, Philippe",ontwerper,Gent,17de eeuw,1691,1700,zilver,,geslagen,,,mm,,,diameter,,29.75,,aanwinst
